Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,var,count
Race/Ethnicity,A. Socio-demographic Characteristics,A1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients,Race/Ethnicity (Overall),Overall,NA,Overall,AIAN,30893
Race/Ethnicity,A. Socio-demographic Characteristics,"A2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Sex, FY13",Race/Ethnicity by Sex ,Sex,NA,F,AIAN,3049
Race/Ethnicity,A. Socio-demographic Characteristics,"A2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Sex, FY13",Race/Ethnicity by Sex ,Sex,NA,M,AIAN,27843
Race/Ethnicity,A. Socio-demographic Characteristics,"A3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Age, FY13",Race/Ethnicity by Age,Age,NA,18-44,AIAN,7064
Race/Ethnicity,A. Socio-demographic Characteristics,"A3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Age, FY13",Race/Ethnicity by Age,Age,NA,45-64,AIAN,13312
Race/Ethnicity,A. Socio-demographic Characteristics,"A3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Age, FY13",Race/Ethnicity by Age,Age,NA,65+,AIAN,10513
Race/Ethnicity,A. Socio-demographic Characteristics,"A5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Rural/Urban Status, FY13 ",Race/Ethnicity by Rural/Urban residence,Geography,NA,Highly Rural,AIAN,1862
Race/Ethnicity,A. Socio-demographic Characteristics,"A5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Rural/Urban Status, FY13 ",Race/Ethnicity by Rural/Urban residence,Geography,NA,Other Rural,AIAN,14550
Race/Ethnicity,A. Socio-demographic Characteristics,"A5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Rural/Urban Status, FY13 ",Race/Ethnicity by Rural/Urban residence,Geography,NA,Urban,AIAN,14284
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,No SC,AIAN,13750
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,SC 0-49,AIAN,6900
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,SC 50-99,AIAN,7431
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,SC 100,AIAN,2786
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,0 encounters,AIAN,997
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,1 encounter,AIAN,1748
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,2 encounters,AIAN,1941
